company,job_title,job_type,experience_level,skills,skills_list,combined_text,combined_cleaned
Jellyfish,senior data analyst,Full Time,Senior-level,"['agile', 'data analytics', 'data analysis', 'data studio', 'aws', 'azure']","['agile', 'data analytics', 'data analysis', 'data studio', 'aws', 'azure']","senior data analyst Senior-level ['agile', 'data analytics', 'data analysis', 'data studio', 'aws', 'azure']",senior data analyst senior level agile data analytics data analysis data studio aws azure
Tiger Analytics,data engineer,Full Time,Mid-level,"['data pipelines', 'architecture', 'aws', 'azure', 'consulting firm', 'consulting']","['data pipelines', 'architecture', 'aws', 'azure', 'consulting firm', 'consulting']","data engineer Mid-level ['data pipelines', 'architecture', 'aws', 'azure', 'consulting firm', 'consulting']",data engineer mid level data pipelines architecture aws azure consulting firm consulting
People Can Fly,lead ai programmer - remote,Full Time,Executive-level,"['research', 'architecture', 'jira', 'oop', 'engineering', 'mathematics']","['research', 'architecture', 'jira', 'oop', 'engineering', 'mathematics']","lead ai programmer - remote Executive-level ['research', 'architecture', 'jira', 'oop', 'engineering', 'mathematics']",lead ai programmer remote executive level research architecture jira oop engineering mathematics
Sportradar,lead data scientist,Full Time,No Experience,"['data analytics', 'data analysis', 'big data', 'computer science', 'linux', 'engineering']","['data analytics', 'data analysis', 'big data', 'computer science', 'linux', 'engineering']","lead data scientist No Experience ['data analytics', 'data analysis', 'big data', 'computer science', 'linux', 'engineering']",lead data scientist no experience data analytics data analysis big data computer science linux engineering
NielsenIQ,engineer (mid- data engineer),Full Time,Senior-level,"['agile', 'apis', 'big data', 'business intelligence', 'azure', 'airflow']","['agile', 'apis', 'big data', 'business intelligence', 'azure', 'airflow']","engineer (mid- data engineer) Senior-level ['agile', 'apis', 'big data', 'business intelligence', 'azure', 'airflow']",engineer mid data engineer senior level agile apis big data business intelligence azure airflow
Standard Bank Group,data scientist (machine learning modelling),Full Time,Senior-level,"['data analytics', 'data analysis', 'credit risk', 'data mining', 'econometrics', 'engineering']","['data analytics', 'data analysis', 'credit risk', 'data mining', 'econometrics', 'engineering']","data scientist (machine learning modelling) Senior-level ['data analytics', 'data analysis', 'credit risk', 'data mining', 'econometrics', 'engineering']",data scientist machine learning modelling senior level data analytics data analysis credit risk data mining econometrics engineering
Magno IT Recruitment,4295 senior data analyst,Full Time,Senior-level,"['spark', 'agile', 'scrum', 'business intelligence']","['spark', 'agile', 'scrum', 'business intelligence']","4295 senior data analyst Senior-level ['spark', 'agile', 'scrum', 'business intelligence']",4295 senior data analyst senior level spark agile scrum business intelligence
OKX,senior manager (project & data management),Full Time,Senior-level,"['research', 'data management', 'finance', 'data analysis', 'crypto', 'blockchain']","['research', 'data management', 'finance', 'data analysis', 'crypto', 'blockchain']","senior manager (project & data management) Senior-level ['research', 'data management', 'finance', 'data analysis', 'crypto', 'blockchain']",senior manager project data management senior level research data management finance data analysis crypto blockchain
Kin + Carta,senior spark data engineer,Full Time,Senior-level,"['apis', 'architecture', 'aws', 'angular', 'azure', 'airflow']","['apis', 'architecture', 'aws', 'angular', 'azure', 'airflow']","senior spark data engineer Senior-level ['apis', 'architecture', 'aws', 'angular', 'azure', 'airflow']",senior spark data engineer senior level apis architecture aws angular azure airflow
Experian,pessoa engenheira de machine learning snior,Full Time,Entry-level,"['deep learning', 'pytorch', 'machine learning', 'fintech', 'python', 'r']","['deep learning', 'pytorch', 'machine learning', 'fintech', 'python', 'r']","pessoa engenheira de machine learning snior Entry-level ['deep learning', 'pytorch', 'machine learning', 'fintech', 'python', 'r']",pessoa engenheira de machine learning snior entry level deep learning pytorch machine learning fintech python r
Clari,"senior software engineer, data platform - remote",Full Time,Senior-level,"['etl', 'agile', 'kpis', 'apis', 'aws', 'engineering']","['etl', 'agile', 'kpis', 'apis', 'aws', 'engineering']","senior software engineer, data platform - remote Senior-level ['etl', 'agile', 'kpis', 'apis', 'aws', 'engineering']",senior software engineer data platform remote senior level etl agile kpis apis aws engineering
Tesco Bengaluru,senior applied data scientist,Full Time,Senior-level,"['github', 'finance', 'data analysis', 'cx', 'excel', 'engineering']","['github', 'finance', 'data analysis', 'cx', 'excel', 'engineering']","senior applied data scientist Senior-level ['github', 'finance', 'data analysis', 'cx', 'excel', 'engineering']",senior applied data scientist senior level github finance data analysis cx excel engineering
Raft,senior data engineer,Full Time,Senior-level,"['flink', 'kafka', 'elasticsearch', 'golang', 'distributed systems', 'airflow']","['flink', 'kafka', 'elasticsearch', 'golang', 'distributed systems', 'airflow']","senior data engineer Senior-level ['flink', 'kafka', 'elasticsearch', 'golang', 'distributed systems', 'airflow']",senior data engineer senior level flink kafka elasticsearch golang distributed systems airflow
Boldr,senior data engineer,Full Time,Mid-level,"['data management', 'data pipelines', 'data mining', 'computer science', 'data quality', 'engineering']","['data management', 'data pipelines', 'data mining', 'computer science', 'data quality', 'engineering']","senior data engineer Mid-level ['data management', 'data pipelines', 'data mining', 'computer science', 'data quality', 'engineering']",senior data engineer mid level data management data pipelines data mining computer science data quality engineering
Agriaku,lead data analyst,Full Time,Senior-level,"['b testing', 'finance', 'amplitude', 'data studio', 'data visualization', 'looker', 'a']","['b testing', 'finance', 'amplitude', 'data studio', 'data visualization', 'looker', 'a']","lead data analyst Senior-level ['b testing', 'finance', 'amplitude', 'data studio', 'data visualization', 'looker', 'a']",lead data analyst senior level b testing finance amplitude data studio data visualization looker a
Hopper,senior machine learning engineer- price freeze (100 remote),Full Time,Senior-level,"['kubernetes', 'amplitude', 'bigquery', 'data visualization', 'fintech', 'docker']","['kubernetes', 'amplitude', 'bigquery', 'data visualization', 'fintech', 'docker']","senior machine learning engineer- price freeze (100 remote) Senior-level ['kubernetes', 'amplitude', 'bigquery', 'data visualization', 'fintech', 'docker']",senior machine learning engineer price freeze 100 remote senior level kubernetes amplitude bigquery data visualization fintech docker
Dashlane,data engineer,Full Time,Senior-level,"['etl', 'data governance', 'aws', 'data quality', 'airflow', 'engineering']","['etl', 'data governance', 'aws', 'data quality', 'airflow', 'engineering']","data engineer Senior-level ['etl', 'data governance', 'aws', 'data quality', 'airflow', 'engineering']",data engineer senior level etl data governance aws data quality airflow engineering
Sand Cherry Associates,data architect,Full Time,Mid-level,"['data management', 'data analytics', 'architecture', 'computer science', 'data visualization', 'consulting']","['data management', 'data analytics', 'architecture', 'computer science', 'data visualization', 'consulting']","data architect Mid-level ['data management', 'data analytics', 'architecture', 'computer science', 'data visualization', 'consulting']",data architect mid level data management data analytics architecture computer science data visualization consulting
SIXT,(senior) director data science for pricing / yield management (m/f/d),Full Time,Executive-level,"['cx', 'ml models', 'machine learning', 'engineering']","['cx', 'ml models', 'machine learning', 'engineering']","(senior) director data science for pricing / yield management (m/f/d) Executive-level ['cx', 'ml models', 'machine learning', 'engineering']",senior director data science for pricing yield management m f d executive level cx ml models machine learning engineering
24-7 Intouch,data analyst,Full Time,Mid-level,"['data analytics', 'data mining', 'computer science', 'excel', 'mathematics', 'economics']","['data analytics', 'data mining', 'computer science', 'excel', 'mathematics', 'economics']","data analyst Mid-level ['data analytics', 'data mining', 'computer science', 'excel', 'mathematics', 'economics']",data analyst mid level data analytics data mining computer science excel mathematics economics
Bosch Group,big data engineer hadoop,Full Time,Entry-level,"['agile', 'data pipelines', 'elasticsearch', 'big data', 'data warehouse', 'airflow']","['agile', 'data pipelines', 'elasticsearch', 'big data', 'data warehouse', 'airflow']","big data engineer hadoop Entry-level ['agile', 'data pipelines', 'elasticsearch', 'big data', 'data warehouse', 'airflow']",big data engineer hadoop entry level agile data pipelines elasticsearch big data data warehouse airflow
Roblox,senior machine learning engineer - search,Full Time,Senior-level,"['deep learning', 'genetics', 'computer science', 'machine learning', 'nlp', 'engineering']","['deep learning', 'genetics', 'computer science', 'machine learning', 'nlp', 'engineering']","senior machine learning engineer - search Senior-level ['deep learning', 'genetics', 'computer science', 'machine learning', 'nlp', 'engineering']",senior machine learning engineer search senior level deep learning genetics computer science machine learning nlp engineering
Publicis Groupe,senior associate data engineering l1,Full Time,Mid-level,"['data pipelines', 'bigtable', 'databricks', 'bigquery', 'computer science', 'azure']","['data pipelines', 'bigtable', 'databricks', 'bigquery', 'computer science', 'azure']","senior associate data engineering l1 Mid-level ['data pipelines', 'bigtable', 'databricks', 'bigquery', 'computer science', 'azure']",senior associate data engineering l1 mid level data pipelines bigtable databricks bigquery computer science azure
Impact,big data infrastructure engineer,Full Time,Senior-level,"['ansible', 'genetics', 'architecture', 'gcp', 'big data', 'bigquery']","['ansible', 'genetics', 'architecture', 'gcp', 'big data', 'bigquery']","big data infrastructure engineer Senior-level ['ansible', 'genetics', 'architecture', 'gcp', 'big data', 'bigquery']",big data infrastructure engineer senior level ansible genetics architecture gcp big data bigquery
CI&T,"job- 10566 senior data visualization analyst, brazil",Full Time,Senior-level,"['data pipelines', 'architecture', 'cx', 'data visualization', 'azure', 'engineering']","['data pipelines', 'architecture', 'cx', 'data visualization', 'azure', 'engineering']","job- 10566 senior data visualization analyst, brazil Senior-level ['data pipelines', 'architecture', 'cx', 'data visualization', 'azure', 'engineering']",job 10566 senior data visualization analyst brazil senior level data pipelines architecture cx data visualization azure engineering
Bosch Group,natural language processing intern,Internship,Entry-level,"['deep learning', 'apis', 'autonomous driving', 'big data', 'computer science', 'circuit design']","['deep learning', 'apis', 'autonomous driving', 'big data', 'computer science', 'circuit design']","natural language processing intern Entry-level ['deep learning', 'apis', 'autonomous driving', 'big data', 'computer science', 'circuit design']",natural language processing intern entry level deep learning apis autonomous driving big data computer science circuit design
Plan-S Satellite and Space Technologies,satellite image processing and ai engineer,Full Time,Mid-level,"['deep learning', 'mathematics', 'computer science', 'machine learning', 'linux', 'engineering']","['deep learning', 'mathematics', 'computer science', 'machine learning', 'linux', 'engineering']","satellite image processing and ai engineer Mid-level ['deep learning', 'mathematics', 'computer science', 'machine learning', 'linux', 'engineering']",satellite image processing and ai engineer mid level deep learning mathematics computer science machine learning linux engineering
KNOREX,data engineer (hybrid),Full Time,Mid-level,"['node.js', 'apis', 'data analytics', 'mongodb', 'python', 'engineering']","['node.js', 'apis', 'data analytics', 'mongodb', 'python', 'engineering']","data engineer (hybrid) Mid-level ['node.js', 'apis', 'data analytics', 'mongodb', 'python', 'engineering']",data engineer hybrid mid level node js apis data analytics mongodb python engineering
Culture Amp,"lead/principal product manager, ai/ml",Full Time,Senior-level,"['research', 'machine learning', 'engineering']","['research', 'machine learning', 'engineering']","lead/principal product manager, ai/ml Senior-level ['research', 'machine learning', 'engineering']",lead principal product manager ai ml senior level research machine learning engineering
Bosch Group,senior data engineer - data scientist (f/m/div),Full Time,Senior-level,"['architecture', 'big data', 'cd', 'computer science', 'azure', 'ci', 'airflow']","['architecture', 'big data', 'cd', 'computer science', 'azure', 'ci', 'airflow']","senior data engineer - data scientist (f/m/div) Senior-level ['architecture', 'big data', 'cd', 'computer science', 'azure', 'ci', 'airflow']",senior data engineer data scientist f m div senior level architecture big data cd computer science azure ci airflow
Xtremax,machine learning / ai engineer (indonesia),Full Time,Mid-level,"['computer science', 'research', 'machine learning', 'python']","['computer science', 'research', 'machine learning', 'python']","machine learning / ai engineer (indonesia) Mid-level ['computer science', 'research', 'machine learning', 'python']",machine learning ai engineer indonesia mid level computer science research machine learning python
Toyota Research Institute,research scientist,Full Time,Senior-level,"['icml', 'aws', 'computer science', 'iclr', 'chemistry', 'engineering']","['icml', 'aws', 'computer science', 'iclr', 'chemistry', 'engineering']","research scientist Senior-level ['icml', 'aws', 'computer science', 'iclr', 'chemistry', 'engineering']",research scientist senior level icml aws computer science iclr chemistry engineering
Worldcoin,senior analytics engineer,Full Time,Senior-level,"['architecture', 'computer science', 'looker', 'blockchain', 'business intelligence', 'engineering']","['architecture', 'computer science', 'looker', 'blockchain', 'business intelligence', 'engineering']","senior analytics engineer Senior-level ['architecture', 'computer science', 'looker', 'blockchain', 'business intelligence', 'engineering']",senior analytics engineer senior level architecture computer science looker blockchain business intelligence engineering
PlayStation Global,lead partner commerce analyst (business intelligence),Full Time,Senior-level,"['data analytics', 'data analysis', 'data mining', 'computer science', 'privacy', 'business intelligence']","['data analytics', 'data analysis', 'data mining', 'computer science', 'privacy', 'business intelligence']","lead partner commerce analyst (business intelligence) Senior-level ['data analytics', 'data analysis', 'data mining', 'computer science', 'privacy', 'business intelligence']",lead partner commerce analyst business intelligence senior level data analytics data analysis data mining computer science privacy business intelligence
Experian,data science consultant,Full Time,No Experience,"['mathematics', 'data mining', 'computer science', 'machine learning', 'data quality', 'engineering']","['mathematics', 'data mining', 'computer science', 'machine learning', 'data quality', 'engineering']","data science consultant No Experience ['mathematics', 'data mining', 'computer science', 'machine learning', 'data quality', 'engineering']",data science consultant no experience mathematics data mining computer science machine learning data quality engineering
Starschema,bi developer,Full Time,Entry-level,"['etl', 'data warehouse', 'azure', 'informatica', 'business intelligence', 'engineering']","['etl', 'data warehouse', 'azure', 'informatica', 'business intelligence', 'engineering']","bi developer Entry-level ['etl', 'data warehouse', 'azure', 'informatica', 'business intelligence', 'engineering']",bi developer entry level etl data warehouse azure informatica business intelligence engineering
SoFi,"senior manager, data engineering",Full Time,Senior-level,"['data governance', 'data management', 'architecture', 'computer science', 'dataops', 'airflow']","['data governance', 'data management', 'architecture', 'computer science', 'dataops', 'airflow']","senior manager, data engineering Senior-level ['data governance', 'data management', 'architecture', 'computer science', 'dataops', 'airflow']",senior manager data engineering senior level data governance data management architecture computer science dataops airflow
Octopus Energy,junior data scientist,Full Time,Entry-level,"['agile', 'aws', 'excel', 'machine learning', 'numpy', 'pandas']","['agile', 'aws', 'excel', 'machine learning', 'numpy', 'pandas']","junior data scientist Entry-level ['agile', 'aws', 'excel', 'machine learning', 'numpy', 'pandas']",junior data scientist entry level agile aws excel machine learning numpy pandas
Bosch Group,data engineer oracle,Full Time,Senior-level,"['agile', 'architecture', 'big data', 'business intelligence', 'azure', 'airflow']","['agile', 'architecture', 'big data', 'business intelligence', 'azure', 'airflow']","data engineer oracle Senior-level ['agile', 'architecture', 'big data', 'business intelligence', 'azure', 'airflow']",data engineer oracle senior level agile architecture big data business intelligence azure airflow
Numberly,data engineer,Full Time,Entry-level,"['devops', 'apis', 'data analytics', 'aws', 'dataops', 'airflow']","['devops', 'apis', 'data analytics', 'aws', 'dataops', 'airflow']","data engineer Entry-level ['devops', 'apis', 'data analytics', 'aws', 'dataops', 'airflow']",data engineer entry level devops apis data analytics aws dataops airflow
Allegro,data analyst (s&op),Full Time,Senior-level,"['power bi', 'ecommerce', 'gcp', 'data studio', 'hadoop', 'excel']","['power bi', 'ecommerce', 'gcp', 'data studio', 'hadoop', 'excel']","data analyst (s&op) Senior-level ['power bi', 'ecommerce', 'gcp', 'data studio', 'hadoop', 'excel']",data analyst s op senior level power bi ecommerce gcp data studio hadoop excel
Bosch Group,graduate motorsport data analyse and engineer,Full Time,Entry-level,"['agile', 'data analytics', 'data analysis', 'computer science', 'engineering', 'economics']","['agile', 'data analytics', 'data analysis', 'computer science', 'engineering', 'economics']","graduate motorsport data analyse and engineer Entry-level ['agile', 'data analytics', 'data analysis', 'computer science', 'engineering', 'economics']",graduate motorsport data analyse and engineer entry level agile data analytics data analysis computer science engineering economics
Veeva Systems,data operations manager - link,Full Time,No Experience,"['data governance', 'kpis', 'research', 'phd', 'dataops', 'engineering']","['data governance', 'kpis', 'research', 'phd', 'dataops', 'engineering']","data operations manager - link No Experience ['data governance', 'kpis', 'research', 'phd', 'dataops', 'engineering']",data operations manager link no experience data governance kpis research phd dataops engineering
SecurityScorecard,vp of data science,Full Time,Executive-level,"['data analytics', 'architecture', 'cx', 'data mining', 'aws', 'computer science']","['data analytics', 'architecture', 'cx', 'data mining', 'aws', 'computer science']","vp of data science Executive-level ['data analytics', 'architecture', 'cx', 'data mining', 'aws', 'computer science']",vp of data science executive level data analytics architecture cx data mining aws computer science
Standard Bank Group,"manager, data science (machine learning)",Full Time,Entry-level,"['data analytics', 'data analysis', 'credit risk', 'data mining', 'aws', 'azure']","['data analytics', 'data analysis', 'credit risk', 'data mining', 'aws', 'azure']","manager, data science (machine learning) Entry-level ['data analytics', 'data analysis', 'credit risk', 'data mining', 'aws', 'azure']",manager data science machine learning entry level data analytics data analysis credit risk data mining aws azure
InMobi,data scientist iv,Full Time,Executive-level,"['agile', 'genetics', 'big data', 'computer science', 'engineering', 'economics']","['agile', 'genetics', 'big data', 'computer science', 'engineering', 'economics']","data scientist iv Executive-level ['agile', 'genetics', 'big data', 'computer science', 'engineering', 'economics']",data scientist iv executive level agile genetics big data computer science engineering economics
Wolt,data science - machine learning engineer,Full Time,Senior-level,"['kubernetes', 'mlops', 'machine learning', 'python', 'engineering', 'docker']","['kubernetes', 'mlops', 'machine learning', 'python', 'engineering', 'docker']","data science - machine learning engineer Senior-level ['kubernetes', 'mlops', 'machine learning', 'python', 'engineering', 'docker']",data science machine learning engineer senior level kubernetes mlops machine learning python engineering docker
Palo Alto Networks,principal machine learning engineer (dlp),Full Time,Senior-level,"['deep learning', 'aws', 'computer science', 'computer vision', 'engineering', 'docker']","['deep learning', 'aws', 'computer science', 'computer vision', 'engineering', 'docker']","principal machine learning engineer (dlp) Senior-level ['deep learning', 'aws', 'computer science', 'computer vision', 'engineering', 'docker']",principal machine learning engineer dlp senior level deep learning aws computer science computer vision engineering docker
Verisk,data engineer i (bld),Full Time,Senior-level,"['apis', 'architecture', 'data analysis', 'big data', 'cd', 'aws', 'ci']","['apis', 'architecture', 'data analysis', 'big data', 'cd', 'aws', 'ci']","data engineer i (bld) Senior-level ['apis', 'architecture', 'data analysis', 'big data', 'cd', 'aws', 'ci']",data engineer i bld senior level apis architecture data analysis big data cd aws ci
Block,"senior data science manager, marketing",Full Time,Senior-level,"['airflow', 'banking', 'bigquery', 'crypto', 'blockchain', 'engineering']","['airflow', 'banking', 'bigquery', 'crypto', 'blockchain', 'engineering']","senior data science manager, marketing Senior-level ['airflow', 'banking', 'bigquery', 'crypto', 'blockchain', 'engineering']",senior data science manager marketing senior level airflow banking bigquery crypto blockchain engineering
"Flagship Pioneering, Inc.","scientist i, computational biology",Full Time,Senior-level,"['biology', 'ecs', 'aws', 'computer science', 'ec2', 'bayesian']","['biology', 'ecs', 'aws', 'computer science', 'ec2', 'bayesian']","scientist i, computational biology Senior-level ['biology', 'ecs', 'aws', 'computer science', 'ec2', 'bayesian']",scientist i computational biology senior level biology ecs aws computer science ec2 bayesian
66degrees,"data analytics architect, multi-instance",Full Time,Senior-level,"['apis', 'architecture', 'data analytics', 'big data', 'computer science', 'business intelligence']","['apis', 'architecture', 'data analytics', 'big data', 'computer science', 'business intelligence']","data analytics architect, multi-instance Senior-level ['apis', 'architecture', 'data analytics', 'big data', 'computer science', 'business intelligence']",data analytics architect multi instance senior level apis architecture data analytics big data computer science business intelligence
Noble.AI,research scientist,Full Time,Mid-level,"['biology', 'deep learning', 'aws', 'computer science', 'computer vision', 'chemistry']","['biology', 'deep learning', 'aws', 'computer science', 'computer vision', 'chemistry']","research scientist Mid-level ['biology', 'deep learning', 'aws', 'computer science', 'computer vision', 'chemistry']",research scientist mid level biology deep learning aws computer science computer vision chemistry
Framestore,head of data ops & render support,Full Time,Executive-level,"['data management', 'data analysis', 'jira', 'linux', 'python', 'dataops']","['data management', 'data analysis', 'jira', 'linux', 'python', 'dataops']","head of data ops & render support Executive-level ['data management', 'data analysis', 'jira', 'linux', 'python', 'dataops']",head of data ops render support executive level data management data analysis jira linux python dataops
Flexport,senior data analyst,Full Time,Senior-level,"['r', 'okr', 'data analytics', 'looker', 'python', 'elt']","['r', 'okr', 'data analytics', 'looker', 'python', 'elt']","senior data analyst Senior-level ['r', 'okr', 'data analytics', 'looker', 'python', 'elt']",senior data analyst senior level r okr data analytics looker python elt
Lightcast,senior data engineer,Full Time,Senior-level,"['agile', 'architecture', 'big data', 'testing', 'computer science', 'engineering']","['agile', 'architecture', 'big data', 'testing', 'computer science', 'engineering']","senior data engineer Senior-level ['agile', 'architecture', 'big data', 'testing', 'computer science', 'engineering']",senior data engineer senior level agile architecture big data testing computer science engineering
Snowflake Inc.,sr security analytics engineer,Full Time,Senior-level,"['data pipelines', 'data analytics', 'computer science', 'data quality', 'pipelines', 'engineering']","['data pipelines', 'data analytics', 'computer science', 'data quality', 'pipelines', 'engineering']","sr security analytics engineer Senior-level ['data pipelines', 'data analytics', 'computer science', 'data quality', 'pipelines', 'engineering']",sr security analytics engineer senior level data pipelines data analytics computer science data quality pipelines engineering
Bosch Group,senior devops engineer big data platform - hadoop (f/m/div),Full Time,Senior-level,"['agile', 'big data', 'computer science', 'azure', 'devops', 'consulting']","['agile', 'big data', 'computer science', 'azure', 'devops', 'consulting']","senior devops engineer big data platform - hadoop (f/m/div) Senior-level ['agile', 'big data', 'computer science', 'azure', 'devops', 'consulting']",senior devops engineer big data platform hadoop f m div senior level agile big data computer science azure devops consulting
Prevail,data analyst,Full Time,Mid-level,"['data analysis', 'big data', 'aws', 'computer science', 'azure', 'consulting']","['data analysis', 'big data', 'aws', 'computer science', 'azure', 'consulting']","data analyst Mid-level ['data analysis', 'big data', 'aws', 'computer science', 'azure', 'consulting']",data analyst mid level data analysis big data aws computer science azure consulting
Credera,principal - data science,Full Time,Senior-level,"['architecture', 'cluster analysis', 'aws', 'computer science', 'azure', 'consulting']","['architecture', 'cluster analysis', 'aws', 'computer science', 'azure', 'consulting']","principal - data science Senior-level ['architecture', 'cluster analysis', 'aws', 'computer science', 'azure', 'consulting']",principal data science senior level architecture cluster analysis aws computer science azure consulting
Discovery Education,"data scientist, product growth",Full Time,No Experience,"['github', 'b testing', 'deep learning', 'aws', 'machine learning', 'lambda', 'a']","['github', 'b testing', 'deep learning', 'aws', 'machine learning', 'lambda', 'a']","data scientist, product growth No Experience ['github', 'b testing', 'deep learning', 'aws', 'machine learning', 'lambda', 'a']",data scientist product growth no experience github b testing deep learning aws machine learning lambda a
Twilio,staff machine learning engineer,Full Time,Senior-level,"['deep learning', 'causal inference', 'apis', 'llms', 'machine learning', 'engineering']","['deep learning', 'causal inference', 'apis', 'llms', 'machine learning', 'engineering']","staff machine learning engineer Senior-level ['deep learning', 'causal inference', 'apis', 'llms', 'machine learning', 'engineering']",staff machine learning engineer senior level deep learning causal inference apis llms machine learning engineering
Amazon.com,"principal applied scientist, sponsored products",Full Time,Senior-level,"['deep learning', 'computer science', 'machine learning', 'phd', 'pipelines', 'engineering']","['deep learning', 'computer science', 'machine learning', 'phd', 'pipelines', 'engineering']","principal applied scientist, sponsored products Senior-level ['deep learning', 'computer science', 'machine learning', 'phd', 'pipelines', 'engineering']",principal applied scientist sponsored products senior level deep learning computer science machine learning phd pipelines engineering
Credera,senior machine learning architect,Full Time,Senior-level,"['agile', 'architecture', 'cluster analysis', 'aws', 'computer science', 'azure']","['agile', 'architecture', 'cluster analysis', 'aws', 'computer science', 'azure']","senior machine learning architect Senior-level ['agile', 'architecture', 'cluster analysis', 'aws', 'computer science', 'azure']",senior machine learning architect senior level agile architecture cluster analysis aws computer science azure
Sportradar,sport data operator,Full Time,Entry-level,"['slam', 'data quality']","['slam', 'data quality']","sport data operator Entry-level ['slam', 'data quality']",sport data operator entry level slam data quality
Block,credit risk decision scientist - afterpay,Full Time,Senior-level,"['data pipelines', 'banking', 'data analysis', 'credit risk', 'crypto', 'blockchain']","['data pipelines', 'banking', 'data analysis', 'credit risk', 'crypto', 'blockchain']","credit risk decision scientist - afterpay Senior-level ['data pipelines', 'banking', 'data analysis', 'credit risk', 'crypto', 'blockchain']",credit risk decision scientist afterpay senior level data pipelines banking data analysis credit risk crypto blockchain
Miratech,python/etl developer,Full Time,Entry-level,"['etl', 'bitbucket', 'jira', 'python', 'git', 'elt']","['etl', 'bitbucket', 'jira', 'python', 'git', 'elt']","python/etl developer Entry-level ['etl', 'bitbucket', 'jira', 'python', 'git', 'elt']",python etl developer entry level etl bitbucket jira python git elt
Databricks,data analyst,Full Time,Senior-level,"['databricks', 'consulting', 'computer science', 'excel', 'engineering', 'economics']","['databricks', 'consulting', 'computer science', 'excel', 'engineering', 'economics']","data analyst Senior-level ['databricks', 'consulting', 'computer science', 'excel', 'engineering', 'economics']",data analyst senior level databricks consulting computer science excel engineering economics
SecurityScorecard,staff data scientist,Full Time,Senior-level,"['causal inference', 'finance', 'privacy', 'business intelligence', 'mathematics', 'economics']","['causal inference', 'finance', 'privacy', 'business intelligence', 'mathematics', 'economics']","staff data scientist Senior-level ['causal inference', 'finance', 'privacy', 'business intelligence', 'mathematics', 'economics']",staff data scientist senior level causal inference finance privacy business intelligence mathematics economics
NielsenIQ,business intelligence associate manager(client facing),Full Time,Mid-level,"['power bi', 'genetics', 'excel', 'robotics', 'business intelligence', 'consulting']","['power bi', 'genetics', 'excel', 'robotics', 'business intelligence', 'consulting']","business intelligence associate manager(client facing) Mid-level ['power bi', 'genetics', 'excel', 'robotics', 'business intelligence', 'consulting']",business intelligence associate manager client facing mid level power bi genetics excel robotics business intelligence consulting
Openlogix Corporation,data analyst,Full Time,Mid-level,"['agile', 'research', 'data analytics']","['agile', 'research', 'data analytics']","data analyst Mid-level ['agile', 'research', 'data analytics']",data analyst mid level agile research data analytics
Machina Labs,business intelligence mba associate,Full Time,Entry-level,"['research', 'finance', 'consulting', 'excel', 'business intelligence', 'engineering']","['research', 'finance', 'consulting', 'excel', 'business intelligence', 'engineering']","business intelligence mba associate Entry-level ['research', 'finance', 'consulting', 'excel', 'business intelligence', 'engineering']",business intelligence mba associate entry level research finance consulting excel business intelligence engineering
Cricut,data scientist,Full Time,Senior-level,"['data analysis', 'computer science', 'machine learning', 'nlp', 'mathematics', 'economics']","['data analysis', 'computer science', 'machine learning', 'nlp', 'mathematics', 'economics']","data scientist Senior-level ['data analysis', 'computer science', 'machine learning', 'nlp', 'mathematics', 'economics']",data scientist senior level data analysis computer science machine learning nlp mathematics economics
Chainalysis,"data scientist, research",Full Time,No Experience,"['etl', 'banking', 'matplotlib', 'blockchain', 'numpy', 'engineering']","['etl', 'banking', 'matplotlib', 'blockchain', 'numpy', 'engineering']","data scientist, research No Experience ['etl', 'banking', 'matplotlib', 'blockchain', 'numpy', 'engineering']",data scientist research no experience etl banking matplotlib blockchain numpy engineering
Deloitte,vacation work - (ais) actuarial & insurance solutions 2023- johannesburg,Full Time,Entry-level,"['data analytics', 'consulting']","['data analytics', 'consulting']","vacation work - (ais) actuarial & insurance solutions 2023- johannesburg Entry-level ['data analytics', 'consulting']",vacation work ais actuarial insurance solutions 2023 johannesburg entry level data analytics consulting
Amazon.com,"applied scientist- search query recommendation, search assistance",Full Time,Senior-level,"['data mining', 'machine learning', 'linux', 'phd', 'python', 'engineering']","['data mining', 'machine learning', 'linux', 'phd', 'python', 'engineering']","applied scientist- search query recommendation, search assistance Senior-level ['data mining', 'machine learning', 'linux', 'phd', 'python', 'engineering']",applied scientist search query recommendation search assistance senior level data mining machine learning linux phd python engineering
Visa,"director, data science",Full Time,Executive-level,"['business analytics', 'data analytics', 'big data', 'computer science', 'distributed systems', 'economics']","['business analytics', 'data analytics', 'big data', 'computer science', 'distributed systems', 'economics']","director, data science Executive-level ['business analytics', 'data analytics', 'big data', 'computer science', 'distributed systems', 'economics']",director data science executive level business analytics data analytics big data computer science distributed systems economics
Neo Cybernetica,senior robotics software engineer,Full Time,Senior-level,"['lidar', 'datarobot', 'architecture', 'linux', 'drones', 'cybernetics']","['lidar', 'datarobot', 'architecture', 'linux', 'drones', 'cybernetics']","senior robotics software engineer Senior-level ['lidar', 'datarobot', 'architecture', 'linux', 'drones', 'cybernetics']",senior robotics software engineer senior level lidar datarobot architecture linux drones cybernetics
