company,job_title,job_type,experience_level,skills
"Flagship Pioneering, Inc.","scientist/sr scientist, computational biology",Full Time,Senior-level,"['biology', 'genetics', 'data analysis', 'industrial', 'phd', 'engineering']"
PA Consulting,data scientist consultant,Full Time,Executive-level,"['big data', 'computer science', 'excel', 'machine learning', 'business intelligence', 'mathematics']"
Publicis Groupe,"manager, data engineering",Full Time,Mid-level,"['data management', 'avro', 'apis', 'computer science', 'aws', 'azure']"
KPMG Australia,consultant data analyst kpmg futures,Full Time,Entry-level,"['data analytics', 'azure', 'computer science', 'data visualization', 'data quality', 'engineering']"
Visa,data scientist,Full Time,Senior-level,"['computer science', 'excel', 'phd', 'python', 'predictive modeling', 'economics']"
Bosch Group,research scientist ai-based planning for autonomous systems,Full Time,Senior-level,"['azure', 'big data', 'aws', 'computer science', 'circuit design', 'computer vision']"
Publicis Groupe,data architect,Full Time,Senior-level,"['kpis', 'apis', 'excel', 'mysql', 'python', 'r']"
Nets,financial data analyst (m/f/d),Full Time,Senior-level,"['power bi', 'banking', 'finance', 'statistics', 'economics']"
NielsenIQ,"analyst - organizational effectiveness (data management & modelling, m&a)",Full Time,Senior-level,"['data management', 'genetics', 'data analytics', 'data analysis', 'data visualization', 'business intelligence']"
Version 1,data architect - talent pipeline,Full Time,Senior-level,"['architecture', 'data analytics', 'athena', 'aws', 'azure', 'consulting']"
PA Consulting,senior data analyst,Full Time,Senior-level,"['eda', 'data analysis', 'big data', 'excel', 'machine learning', 'business intelligence']"
Experian,data analytics hub manager,Full Time,Senior-level,"['apis', 'data analytics', 'data analysis', 'aws', 'excel', 'data quality']"
Verisk,senior data analyst,Full Time,Senior-level,"['data governance', 'data management', 'finance', 'data analytics', 'big data', 'data quality']"
Publicis Groupe,"manager, business intelligence",Full Time,Senior-level,"['etl', 'data governance', 'architecture', 'data analysis', 'data visualization', 'business intelligence']"
Adtalem Global Education,"senior data analyst, marketing & enrollment - hybrid",Full Time,Senior-level,"['data governance', 'finance', 'bigquery', 'data visualization', 'business intelligence', 'engineering']"
Groupe Hospitalier Paris Saint Joseph,architecte data - dcisionnel et entrept donnes sant - data architect,Full Time,Senior-level,"['agile', 'deep learning', 'architecture', 'big data', 'data warehouse', 'business intelligence']"
eWave,"middle product manager (data analysis, fintech)",Full Time,No Experience,"['agile', 'data governance', 'data management', 'data analysis', 'data quality', 'engineering']"
Publicis Groupe,"director, data science",Full Time,Executive-level,"['data management', 'data analytics', 'architecture', 'big data', 'data mining', 'bayesian']"
Palo Alto Networks,principal machine learning engineer,Full Time,Senior-level,"['deep learning', 'llms', 'data analytics', 'computer science', 'machine learning', 'engineering']"
CGG,imaging geophysicist - cdi permanent contract,Full Time,Entry-level,"['phd', 'data analysis', 'excel', 'hpc', 'engineering', 'mathematics']"
Cermati.com,junior business intelligence analyst,Full Time,Entry-level,"['big data', 'bigquery', 'computer science', 'excel', 'javascript', 'business intelligence']"
Publicis Groupe,lead data analyst,Full Time,Senior-level,"['agile', 'airflow', 'big data', 'bigquery', 'computer science', 'business intelligence']"
"CoEnterprise, LLC","senior technical integration consultant- mft, migrations, etl experience- us based remote",Full Time,Senior-level,"['business analytics', 'apis', 'architecture', 'azure', 'db2', 'consulting']"
Agoda,"senior data analyst (flights team, bangkok-based, relocation provided)",Full Time,Senior-level,"['b testing', 'data analysis', 'ecommerce', 'computer science', 'data visualization', 'a', 'consulting']"
605,"data engineer, operations (adscribe)",Full Time,Mid-level,"['agile', 'data pipelines', 'databricks', 'aws', 'dataops', 'airflow']"
Agoda,"lead bi analyst (supply analytics, bangkok-based)",Full Time,Senior-level,"['b testing', 'ecommerce', 'computer science', 'a', 'business intelligence', 'consulting', 'economics']"
Fannie Mae,sr cloud & data engineer (hybrid),Full Time,Senior-level,"['ecs', 'aws', 'ec2', 'engineering', 'classification', 'elt']"
SAIT,instructor- data analytics,Full Time,Entry-level,"['data analytics', 'cad', 'phd', 'python', 'classification', 'engineering']"
Octopus Energy,data analyst (procurement),Full Time,Senior-level,"['agile', 'finance', 'apis', 'data analysis', 'jupyter', 'machine learning']"
Yohana,"technical program manager, artificial intelligence & data",Full Time,Senior-level,"['agile', 'data management', 'jira', 'big data', 'computer science', 'engineering']"
Coinbase,staff machine learning platform engineer,Full Time,Senior-level,"['b testing', 'airflow', 'chatbots', 'computer science', 'a', 'computer vision', 'blockchain']"
Cresta,data scientist,Full Time,Senior-level,"['b testing', 'clustering', 'llms', 'data analysis', 'data visualization', 'a', 'engineering']"
Contact Energy,junior data and insight analyst,Full Time,Entry-level,"['agile', 'power bi', 'jupyter', 'computer science', 'pandas', 'engineering']"
Amazon.com,business intelligence manager,Full Time,Senior-level,"['finance', 'sql', 'cx', 'python', 'statistics', 'business intelligence']"
JupiterOne,senior data engineer,Full Time,Senior-level,"['big data', 'athena', 'aws', 'angular', 'computer science', 'airflow']"
Standard Bank Group,data enginner,Full Time,Senior-level,"['etl', 'banking', 'sas', 'data quality', 'python', 'business intelligence']"
Scale AI,analytics engineer,Full Time,Senior-level,"['data pipelines', 'airflow', 'apis', 'data warehouse', 'data quality', 'business intelligence']"
Homa Games,"monetization data analyst, marketing analytics",Full Time,Mid-level,"['data analysis', 'statistics', 'sql', 'computer science', 'python', 'git']"
Roblox,"principal software engineer, applied ml",Full Time,Senior-level,"['deep learning', 'diffusion models', 'genetics', 'llms', 'architecture', 'content creation']"
Aviso Wealth,azure data engineer,Full Time,Mid-level,"['agile', 'data governance', 'databricks', 'big data', 'aws', 'azure']"
Amazon.com,"electrical design engineer, data center design engineering",Full Time,Senior-level,"['aws', 'research', 'industrial', 'engineering']"
Palo Alto Networks,"ai architect, it",Full Time,Senior-level,"['data analytics', 'architecture', 'data mining', 'computer science', 'classification', 'ai strategy']"
bunq,data science intern - large language models,Internship,Entry-level,"['fintech', 'nlp', 'llms', 'engineering']"
Talan,data engineer,Full Time,Senior-level,"['apis', 'architecture', 'data analysis', 'big data', 'azure', 'blockchain']"
Locus Robotics,"deployment specialist -(travel, early career robotics)-central to east coast - us",Full Time,Senior-level,"['robotics', 'ecommerce']"
Cruise LLC,"staff software engineer, machine learning acceleration",Full Time,Senior-level,"['drivers license', 'architecture', 'machine learning', 'linux', 'python', 'engineering']"
NielsenIQ,senior bi developer,Full Time,Senior-level,"['agile', 'devops', 'cd', 'data warehouse', 'azure', 'ci', 'business intelligence']"
Atlassian,"senior data engineer, data engineering",Full Time,Senior-level,"['data governance', 'bitbucket', 'apis', 'databricks', 'computer science', 'airflow']"
Helloprint,product data specialist,Full Time,Entry-level,"['etl', 'ecommerce', 'excel', 'csv', 'python', 'business intelligence']"
Vattenfall,data manager zakelijke markt,Full Time,No Experience,"['cx', 'data governance', 'data management']"
Eurofins,business intelligence specialist,Full Time,No Experience,"['devops', 'architecture', 'azure', 'excel', 'data quality', 'business intelligence']"
Sia Partners,consultant(e) data science - bureau de lyon,Full Time,Entry-level,"['matlab', 'big data', 'perl', 'machine learning', 'linux', 'consulting']"
Publicis Groupe,"associate director, data engineering",Full Time,Mid-level,"['data management', 'data pipelines', 'aws', 'computer science', 'data visualization', 'azure']"
Sia Partners,consultant(e) senior data science,Full Time,Senior-level,"['big data', 'cd', 'gcp', 'google cloud', 'azure', 'ci', 'consulting']"
Sia Partners,consultant(e) data science - bureau de marseille,Full Time,Entry-level,"['agile', 'data management', 'architecture', 'big data', 'linux', 'consulting']"
Inmarsat,data engineer,Full Time,Entry-level,"['agile', 'data pipelines', 'gcp', 'computer science', 'google cloud', 'git']"
Twitch,business intelligence manager,Full Time,Senior-level,"['finance', 'sql', 'cx', 'privacy', 'python', 'business intelligence']"
Asana,"staff data scientist, business - sales & customer success",Full Time,Senior-level,"['causal inference', 'clustering', 'data analysis', 'computer science', 'classification', 'economics']"
Roosh,copywriter (zibraai),Full Time,Mid-level,"['deep learning', 'computer science', 'machine learning', 'computer vision', 'engineering', 'content creation']"
Block,"senior product manager, data infrastructure",Full Time,Senior-level,"['data pipelines', 'banking', 'crypto', 'machine learning', 'blockchain', 'engineering']"
Agoda,"data analyst (flights team, bangkok-based, relocation provided)",Full Time,Senior-level,"['b testing', 'data analysis', 'ecommerce', 'computer science', 'data visualization', 'a', 'consulting']"
Roblox,senior data scientist- creator content,Full Time,Senior-level,"['b testing', 'causal inference', 'big data', 'computer science', 'a', 'airflow', 'content creation']"
"Vouch, Inc.",staff data scientist,Full Time,Senior-level,"['snowflake', 'data analysis', 'data mining', 'computer science', 'machine learning', 'python']"
"Cloudflare, Inc.",data scientist,Full Time,Senior-level,"['agile', 'deep learning', 'big data', 'bigquery', 'computer science', 'business intelligence']"
Sia Partners,data engineer - h/f,Full Time,Entry-level,"['apis', 'architecture', 'big data', 'aws', 'azure', 'consulting']"
Etraveli Group,machine learning engineer,Full Time,Mid-level,"['apis', 'architecture', 'ecommerce', 'data mining', 'computer science', 'engineering']"
Civica UK Ltd,senior software engineer (power bi) -election-46,Full Time,Mid-level,"['apis', 'architecture', 'data analysis', 'excel', 'classification', 'business intelligence']"
ServiceNow,sr staff data scientist - atg,Full Time,Senior-level,"['mathematics', 'data analysis', 'computer science', 'machine learning', 'data visualization', 'engineering']"
dentsu international,us master data manager,Full Time,Senior-level,"['data governance', 'data management', 'finance', 'data strategy', 'computer science', 'excel']"
CB Insights,senior data analyst,Full Time,Senior-level,"['finance', 'genetics', 'data analysis', 'computer science', 'excel', 'economics']"
DigitalOcean,data analyst,Full Time,Senior-level,"['kpis', 'computer science', 'excel', 'looker', 'engineering', 'economics']"
Sia Partners,consultant(e) senior data science - bureau de marseille,Full Time,Senior-level,"['data management', 'architecture', 'big data', 'linux', 'consulting firm', 'consulting']"
RCA,data analyst f/h,Full Time,Entry-level,"['etl', 'snowflake', 'data warehouse', 'aws', 'machine learning', 'airflow']"
Etraveli Group,data scientist,Full Time,Mid-level,"['architecture', 'data analysis', 'ecommerce', 'data mining', 'machine learning', 'data visualization']"
Agoda,"senior business intelligence analyst (bangkok-based, relocation provided)",Full Time,Senior-level,"['b testing', 'ecommerce', 'computer science', 'a', 'business intelligence', 'consulting', 'economics']"
Fullstack Academy,"instructor, ai/machine learning (part-time)",Part Time,Mid-level,"['deep learning', 'tensorflow', 'machine learning', 'keras', 'teaching', 'python']"
Trusting Social,big data engineer (spark/ hadoop/ scala),Full Time,Senior-level,"['etl', 'big data', 'aws', 'fintech', 'distributed systems', 'airflow']"
Cruise LLC,"staff software engineer, machine learning infrastructure",Full Time,Senior-level,"['drivers license', 'data mining', 'computer science', 'distributed systems', 'feature engineering', 'engineering']"
Roblox,research scientist,Full Time,Entry-level,"['genetics', 'computer science', 'machine learning', 'distributed systems', 'engineering', 'content creation']"
Vattenfall,wind master data manager,Full Time,Senior-level,"['data management', 'security', 'testing', 'excel', 'data quality', 'engineering']"
Etsy,senior applied scientist ii,Full Time,Senior-level,"['gcp', 'aws', 'computer science', 'azure', 'classification', 'engineering']"
Publicis Groupe,data science analyst,Full Time,Entry-level,"['power bi', 'apis', 'data studio', 'data mining', 'machine learning', 'python']"
ODAIA,machine learning engineer - llm,Full Time,Senior-level,"['llms', 'architecture', 'machine learning', 'nlp', 'python', 'engineering']"
Homa Games,product data analyst - gaming analytics,Full Time,Mid-level,"['kpis', 'research', 'data pipelines', 'python', 'pipelines', 'predictive modeling']"
Sia Partners,consultant(e) senior data science - bureau de nantes,Full Time,Senior-level,"['matlab', 'big data', 'machine learning', 'linux', 'consulting firm', 'consulting']"
Security Bank,chatbot engineer,Full Time,No Experience,"['agile', 'scrum', 'banking', 'chatbots', 'computer science', 'nlp']"
Netflix,machine learning scientist (l6) - product,Full Time,Senior-level,"['physics', 'computer science', 'machine learning', 'ml models', 'python', 'engineering']"
Wolt,imaging coordinator,Full Time,Entry-level,"['excel', 'ecommerce']"
Fannie Mae,people analytics senior data analyst (remote),Full Time,Senior-level,"['architecture', 'aws', 'data visualization', 'classification', 'business intelligence', 'consulting']"
Rest,information security & data management trainer,Full Time,Executive-level,"['computer science', 'security', 'data management']"
Block,"senior machine learning modeler, financial crimes",Full Time,Senior-level,"['airflow', 'banking', 'aws', 'computer science', 'classification', 'blockchain']"
Publicis Groupe,lead analyst (bi data development),Full Time,Senior-level,"['agile', 'data pipelines', 'data analytics', 'big data', 'computer science', 'business intelligence']"
Roblox,principal machine learning engineer - personalization,Full Time,Senior-level,"['research', 'genetics', 'computer science', 'machine learning', 'engineering']"
Instacart,"staff software engineer, data platform",Full Time,Senior-level,"['elasticsearch', 'cassandra', 'data strategy', 'computer science', 'airflow', 'engineering']"
Sia Partners,consultant(e) data science,Full Time,Entry-level,"['matlab', 'big data', 'perl', 'machine learning', 'linux', 'consulting']"
ASOS,senior insight analyst - digital experience,Full Time,Senior-level,"['ecommerce', 'sql', 'cx', 'excel', 'python']"
Talan,alternance consultant(e) data analytics - h/f,Full Time,Entry-level,"['etl', 'data analytics', 'big data', 'gcp', 'aws', 'azure']"
Sia Partners,consultant(e) data science - bureau de nantes,Full Time,Entry-level,"['matlab', 'big data', 'perl', 'machine learning', 'linux', 'consulting']"
Next Phase,302 - data analytics specialist - cms end stage renal disease (esrd),Full Time,Mid-level,"['power bi', 'tableau', 'data analytics', 'sql', 'testing', 'python']"
Intercom,analytics engineer,Full Time,Senior-level,"['airflow', 'data warehouse', 'data quality', 'engineering', 'business intelligence', 'elt']"
Datadog,senior software engineer - data visualization,Full Time,Senior-level,"['apis', 'react', 'd3', 'javascript', 'privacy', 'data visualization']"
Luminar,senior mlops engineer,Full Time,Senior-level,"['agile', 'autonomous driving', 'aws', 'computer science', 'azure', 'airflow']"
SentinelOne,senior ml engineer (remote),Full Time,Senior-level,"['generative modeling', 'data pipelines', 'computer science', 'machine learning', 'data visualization', 'engineering']"
Roblox,research engineer - research,Full Time,Senior-level,"['open source', 'genetics', 'apis', 'computer science', 'distributed systems', 'engineering']"
Roblox,"principal software engineer, data engineering",Full Time,Senior-level,"['data pipelines', 'architecture', 'dagster', 'aws', 'azure', 'airflow']"
Nielsen,product owner - data visualization specialist and quality,Full Time,Senior-level,"['data analysis', 'aws', 'data visualization', 'data quality', 'business intelligence', 'consulting']"
Adevinta,data engineer senior - dataops / aws / archi distribue (f/m/x),Full Time,Senior-level,"['ansible', 'apis', 'architecture', 'athena', 'aws', 'airflow']"
"Turnitin, LLC",senior ai data engineer (usa remote),Full Time,Senior-level,"['data pipelines', 'apis', 'architecture', 'aws', 'data visualization', 'azure']"
Roblox,principal machine learning engineer- economy,Full Time,Senior-level,"['data pipelines', 'genetics', 'data analysis', 'computer science', 'machine learning', 'engineering']"
Security Bank,data quality management specialist,Full Time,No Experience,"['banking', 'security', 'sql', 'computer science', 'data quality', 'engineering']"
OfferFit,machine learning implementation engineer,Full Time,Senior-level,"['b testing', 'data pipelines', 'apis', 'architecture', 'cd', 'ci', 'a', 'airflow']"
AMP Robotics,robotics software engineer,Full Time,Senior-level,"['genetics', 'architecture', 'data analysis', 'angular', 'computer vision', 'engineering']"
CIMMYT,"data management system general support coordinator, consultancy",Full Time,Mid-level,"['nonprofit', 'research', 'data management', 'itil', 'computer science', 'statistics']"
Nearmap,senior data scientist (deep learning specialist),Full Time,Senior-level,"['deep learning', 'architecture', 'cd', 'ci', 'computer vision', 'git', 'engineering']"
Modulate,machine learning engineer / senior machine learning engineer,Full Time,Senior-level,"['deep learning', 'pytorch', 'machine learning', 'nlp', 'python', 'git']"
Relay Graduate School of Education,"managing director, data engineering, reporting, visualization",Full Time,Executive-level,"['agile', 'apis', 'architecture', 'computer science', 'azure', 'business intelligence']"
Roblox,principal deep learning engineer - computer vision,Full Time,Senior-level,"['research', 'deep learning', 'genetics', 'machine learning', 'phd', 'computer vision']"
Adevinta,data engineer - team data platform (f/m/x),Full Time,Senior-level,"['ansible', 'apis', 'architecture', 'athena', 'aws', 'airflow']"
EUROPEAN DYNAMICS,bi developer (sap bo & qlik),Full Time,Mid-level,"['etl', 'architecture', 'data warehouse', 'data mining', 'data quality', 'business intelligence']"
Roblox,"technical director, machine learning (individual contributor)",Full Time,Executive-level,"['deep learning', 'genetics', 'architecture', 'javascript', 'distributed systems', 'lua']"
ServiceNow,staff data scientist - atg,Full Time,Senior-level,"['bert', 'computer science', 'industrial', 'machine learning', 'nlp', 'git']"
Dun & Bradstreet,"senior analyst, data science (r-14532)",Full Time,Senior-level,"['data analytics', 'data analysis', 'hadoop', 'machine learning', 'privacy', 'nlp']"
Twelve Labs,sr ml engineer (infrastructure),Full Time,Senior-level,"['elasticsearch', 'apis', 'aws', 'cuda', 'azure', 'docker']"
Coinbase,senior machine learning engineer,Full Time,Senior-level,"['airflow', 'chatbots', 'computer science', 'crypto', 'computer vision', 'blockchain']"
Verisk,data analyst ii,Full Time,No Experience,"['agile', 'data analysis', 'data analytics', 'big data', 'computer science', 'business intelligence']"
Publicis Groupe,"director, business intelligence",Full Time,Executive-level,"['finance', 'data analysis', 'excel', 'business intelligence', 'consulting']"
Block,"senior platform data engineer, people analytics",Full Time,Senior-level,"['banking', 'apis', 'architecture', 'aws', 'crypto', 'blockchain']"
YouGov,data analyst,Full Time,Entry-level,"['research', 'excel', 'market research', 'privacy', 'statistics']"
ServiceNow,sr machine learning engineer,Full Time,Senior-level,"['github', 'ansible', 'gitlab', 'kubernetes', 'aws', 'azure']"
Publicis Groupe,data scientist (mmm),Full Time,Entry-level,"['data analytics', 'excel', 'econometrics', 'spark', 'python', 'r']"
Corcentric,machine learning engineer,Full Time,Mid-level,"['agile', 'chatbots', 'architecture', 'aws', 'azure', 'classification']"
Databricks,senior spark technical solutions engineer,Full Time,Senior-level,"['apis', 'big data', 'databricks', 'aws', 'azure', 'consulting']"
Amazon.com,"support ops manager i, ml data operations, fba support operations",Full Time,No Experience,"['cx', 'dataops', 'machine learning']"
Abcam Plc,head of business intelligence and analytics,Full Time,Executive-level,"['agile', 'data pipelines', 'computer science', 'excel', 'business intelligence', 'engineering']"
Agoda,"senior analyst - business intelligence (bangkok-based, relocation provided)",Full Time,Senior-level,"['b testing', 'data analytics', 'ecommerce', 'computer science', 'a', 'business intelligence', 'consulting']"
The Very Group,lead data developer,Full Time,Mid-level,"['testing', 'data warehouse', 'sas', 'sql', 'teaching']"
Amazon.com,"program manager, operations finance business intelligence, japan operations finance",Full Time,Senior-level,"['data warehousing', 'data analytics', 'big data', 'data visualization', 'business intelligence', 'engineering']"
OpenAI,"engineering manager, chatgpt for business",Full Time,Senior-level,"['kubernetes', 'openai', 'chatgpt', 'privacy', 'gpt', 'engineering']"
"Turnitin, LLC",ai data engineering and data science manager (usa remote),Full Time,Executive-level,"['data pipelines', 'apis', 'architecture', 'aws', 'data visualization', 'azure']"
Celonis,consultant (german speaking) - data analytics,Full Time,No Experience,"['agile', 'data analytics', 'big data', 'cx', 'computer science', 'consulting']"
Cohere,"research scientist, responsible ai",Full Time,Senior-level,"['apis', 'llms', 'gcp', 'computer science', 'google cloud', 'machine learning']"
Verisk,data engineer,Full Time,Senior-level,"['architecture', 'data analytics', 'big data', 'athena', 'aws', 'computer science']"
Scale AI,"data scientist, generative ai",Full Time,Senior-level,"['llms', 'machine learning', 'nlp', 'python', 'engineering', 'economics']"
WAES,senior data engineer,Full Time,Senior-level,"['agile', 'data pipelines', 'apis', 'computer science', 'aws', 'azure']"
ServiceNow,data analytics manager,Full Time,Senior-level,"['clustering', 'finance', 'data analytics', 'data analysis', 'computer science', 'azure']"
The Data Foundry,data engineer (melbourne),Full Time,Mid-level,"['ansible', 'agile', 'bitbucket', 'avro', 'architecture', 'aws']"
Addepar,sr product designer - data management (uk),Full Time,Senior-level,"['agile', 'data management', 'finance', 'architecture', 'data visualization', 'fintech']"
Verisk,nlp engineer,Full Time,No Experience,"['architecture', 'big data', 'aws', 'computer science', 'azure', 'classification']"
The Bridge Social,659 data engineer,Full Time,Mid-level,"['airflow', 'gcp', 'google cloud', 'industrial', 'dataops', 'devops']"
Databricks,specialist solutions architect - data engineering & azure,Full Time,Senior-level,"['apis', 'architecture', 'big data', 'cd', 'computer science', 'azure', 'ci']"
Metiora,data scientist intern,Full Time,Entry-level,"['deep learning', 'mongodb', 'machine learning', 'matplotlib', 'numpy', 'pandas']"
Boohoo Group,people data analyst,Full Time,Mid-level,"['agile', 'power bi', 'data management', 'ecommerce', 'excel', 'data quality']"
Previse,data scientist,Full Time,Mid-level,"['agile', 'eda', 'data pipelines', 'data analysis', 'computer science', 'engineering']"
3Pillar Global,senior/ lead data analytics,Full Time,Senior-level,"['agile', 'data analytics', 'databricks', 'excel', 'azure', 'engineering']"
Metyis,data product owner,Full Time,Mid-level,"['agile', 'data analytics', 'computer science', 'azure', 'devops', 'engineering']"
"Flagship Pioneering, Inc.",head of health data science,Full Time,Executive-level,"['bert', 'data management', 'deep learning', 'aws', 'computer science', 'computer vision']"
Roblox,senior data scientist - discovery experiences,Full Time,Senior-level,"['deep learning', 'causal inference', 'big data', 'computer science', 'airflow', 'economics']"
NBCUniversal,data engineer - nbc sports next,Full Time,Senior-level,"['agile', 'data pipelines', 'data warehouse', 'aws', 'dataops', 'airflow']"
Dynatrace,senior researcher (postdoc) for big data processing (m/f/x),Full Time,Senior-level,"['architecture', 'data analysis', 'big data', 'computer science', 'industrial', 'distributed systems']"
Amazon.com,applied scientist ii,Full Time,Senior-level,"['data mining', 'aws', 'ocr', 'machine learning', 'linux', 'computer vision']"
Roblox,senior data scientist - creator success,Full Time,Senior-level,"['b testing', 'causal inference', 'data analysis', 'big data', 'computer science', 'a', 'airflow']"
DoubleVerify,jr crm data quality specialist,Full Time,Entry-level,"['data governance', 'finance', 'data quality']"
Publicis Groupe,senior data engineer,Full Time,Senior-level,"['data pipelines', 'bigtable', 'databricks', 'bigquery', 'computer science', 'azure']"
AUTO1 Group,head of data science (f/m/x),Full Time,Executive-level,"['mlops', 'aws', 'machine learning', 'linux', 'ml models', 'engineering']"
WHOOP,director of machine learning platform engineering,Full Time,Executive-level,"['data governance', 'aws', 'computer science', 'machine learning', 'feature engineering', 'engineering']"
ServiceNow,staff research scientist/engineer,Full Time,Senior-level,"['deep learning', 'computer science', 'nlp', 'git', 'mathematics', 'gpu']"
NielsenIQ,data analyst and bi developer,Full Time,Senior-level,"['data analysis', 'big data', 'data visualization', 'business intelligence', 'engineering', 'economics']"
Enroute,data engineer databricks,Full Time,Mid-level,"['etl', 'agile', 'databricks', 'aws', 'azure', 'engineering']"
Prezi,senior data analyst,Full Time,Senior-level,"['b testing', 'data pipelines', 'data analysis', 'computer science', 'data visualization', 'a', 'engineering']"
"Demandbase, Inc.",senior software engineer (data engineering),Full Time,Senior-level,"['agile', 'clustering', 'architecture', 'data analysis', 'big data', 'computer science']"
Publicis Groupe,hris & data analytics specialist,Full Time,Entry-level,"['excel', 'data analytics', 'consulting', 'economics']"
Atlassian,"group manager, technical data science",Full Time,Executive-level,"['agile', 'cd', 'aws', 'data quality', 'ci', 'business intelligence', 'engineering']"
AUTO1 Group,expert data scientist (f/m/x),Full Time,Senior-level,"['gcp', 'aws', 'google cloud', 'machine learning', 'azure', 'engineering']"
Informa Group Plc.,research analyst (rpa engineer),Full Time,Senior-level,"['rdbms', 'apis', 'data analytics', 'excel', 'python', 'devops']"
Clear Street Markets,"data engineer, clearing and custody",Full Time,Senior-level,"['kafka', 'json', 'finance', 'apis', 'engineering', 'docker']"
Farfetch,analytics engineer - analytics hub,Full Time,Senior-level,"['agile', 'data governance', 'architecture', 'bigquery', 'azure', 'airflow']"
Wunderman Thompson Commerce,internship - data analyst,Internship,Entry-level,"['business analytics', 'data analytics', 'data analysis', 'bigquery', 'ecommerce', 'consulting']"
Amazon.com,"data scientist, ipc - specialized selection",Full Time,Senior-level,"['business analytics', 'causal inference', 'big data', 'computer science', 'engineering', 'economics']"
Enpal GmbH,(mid level) business intelligence analyst scm (f/m/x),Full Time,Mid-level,"['data quality', 'data analysis', 'bigquery', 'aws', 'azure', 'business intelligence']"
Helloprint,prompt engineering internship,Internship,Entry-level,"['ecommerce', 'langchain', 'cx', 'computer science', 'gpt', 'engineering']"
Remitly,partner data specialist,Full Time,Entry-level,"['excel', 'banking', 'finance']"
HSO,azure data engineer (sql/python),Full Time,Mid-level,"['data pipelines', 'architecture', 'databricks', 'computer science', 'azure', 'business intelligence']"
TEHORA,analyste-programmeur spcialiste etl,Full Time,Mid-level,"['etl', 'oracle', 'olap', 'architecture', 'looker', 'pentaho']"
Publicis Groupe,data engineer,Full Time,Senior-level,"['agile', 'apis', 'architecture', 'data analysis', 'cd', 'aws', 'ci']"
Publicis Groupe,"data engineer, creative media operations",Full Time,Executive-level,"['json', 'redshift', 'architecture', 'aws', 'engineering', 'content creation']"
Flatiron School,"executive training coach, artificial intelligence",Full Time,Executive-level,"['engineering', 'mathematics', 'consulting']"
SAIT,adjunct instructors - data science program - 2023/2024,Full Time,Entry-level,"['data analytics', 'architecture', 'data analysis', 'teaching', 'python', 'classification']"
Sigma Defense,senior smwdc data analytics team lead,Full Time,Senior-level,"['security', 'excel', 'data analytics']"
Copper.co,data analytics engineer,Full Time,No Experience,"['agile', 'avro', 'architecture', 'bigquery', 'blockchain', 'airflow']"
Snowflake Inc.,senior data scientist,Full Time,Senior-level,"['excel', 'machine learning', 'ml models', 'data quality', 'airflow', 'pandas']"
Stockbit,data analyst,Full Time,Mid-level,"['banking', 'data analysis', 'ecommerce', 'computer science', 'data visualization', 'consulting']"
Publicis Groupe,data analyst,Full Time,Senior-level,"['finance', 'data analytics', 'databricks', 'big data', 'computer science', 'economics']"
GoodRx,senior data engineer i,Full Time,Senior-level,"['data analysis', 'big data', 'databricks', 'aws', 'computer science', 'airflow']"
Version 1,data visualisation consultant,Full Time,No Experience,"['agile', 'devops', 'aws', 'azure', 'business intelligence', 'consulting']"
Agoda,"data analyst (bangkok based, relocation provided)",Full Time,Mid-level,"['b testing', 'banking', 'data analysis', 'computer science', 'a', 'business intelligence', 'consulting']"
goodlord,head of data,Full Time,Executive-level,"['etl', 'data strategy', 'architecture', 'bigquery', 'dataflow', 'engineering']"
Bitpanda,senior dataops engineer (kafka),Full Time,Senior-level,"['apis', 'architecture', 'bigquery', 'cd', 'aws', 'ci', 'airflow']"
Visa,financial data analyst,Full Time,No Experience,"['power bi', 'finance', 'data analytics', 'excel', 'data visualization', 'phd']"
ALTEN,stage ingnieur machine learning (f/h),Full Time,Entry-level,"['pytorch', 'architecture', 'rd', 'machine learning', 'python', 'r']"
NielsenIQ,data analyst,Full Time,Senior-level,"['research', 'genetics', 'econometrics', 'data visualization', 'statistics', 'business intelligence']"
Rokt,senior/staff machine learning engineer - ecommerce fraud detection,Full Time,Mid-level,"['agile', 'deep learning', 'architecture', 'computer science', 'computer vision', 'bayesian']"
Innovaccer,lead-data analyst,Full Time,No Experience,"['nosql', 'data warehousing', 'elasticsearch', 'computer science', 'javascript', 'engineering']"
Amazon.com,"senior applied scientist, prime video",Full Time,Senior-level,"['deep learning', 'hadoop', 'machine learning', 'distributed systems', 'computer vision', 'engineering']"
"Lakeshore Learning Materials, LLC",product data management manager (hybrid),Full Time,Executive-level,"['data governance', 'data management', 'dataflow', 'data analytics', 'ecommerce', 'data quality']"
Bosch Group,data scientist for reliability engineering (m/f/d),Full Time,No Experience,"['clustering', 'data strategy', 'data analytics', 'cd', 'azure', 'ci', 'classification']"
CITECH,dveloppeur etl (h/f),Full Time,Senior-level,"['etl', 'postgresql', 'oracle', 'sql', 'xml', 'xsd']"
Bosch Group,power bi engineer,Full Time,Senior-level,"['power bi', 'devops', 'sql', 'industrial', 'azure', 'pipelines']"
Hinge Health,senior data engineer,Full Time,Senior-level,"['data governance', 'databricks', 'cd', 'aws', 'ci', 'computer vision', 'airflow']"
